,1:Date,2:Time,18:Meteo_Exterior_Piranometro,9:Humedad_Habitacion_Sensor,7:CO2_Habitacion_Sensor,12:Precipitacion
0,13/03/2012,11:45,758.88,42.415,221.92,0.0
1,13/03/2012,12:00,762.069,42.2453,220.363,0.0
2,13/03/2012,12:15,766.2510000000001,42.2267,218.933,0.0
3,13/03/2012,12:30,766.0369999999999,42.0987,217.045,0.0
4,13/03/2012,12:45,762.743,42.0686,216.08,0.0
5,13/03/2012,13:00,752.683,42.0347,216.011,0.0
6,13/03/2012,13:15,740.949,41.9947,215.829,0.0
7,13/03/2012,13:30,721.1089999999999,41.9947,215.296,0.0
8,13/03/2012,13:45,699.3919999999999,42.1253,214.549,0.0
9,13/03/2012,14:00,677.675,42.0427,213.90900000000002,0.0
10,13/03/2012,14:15,648.427,42.1787,213.312,0.0
11,13/03/2012,14:30,615.68,42.7067,213.739,0.0
12,13/03/2012,14:45,582.869,41.5147,222.528,0.0
13,13/03/2012,15:00,544.533,40.955999999999996,219.68,0.0
14,13/03/2012,15:15,503.744,40.6347,219.285,0.0
15,13/03/2012,15:30,460.523,40.8413,217.58900000000003,0.0
16,13/03/2012,15:45,415.744,40.8867,215.136,0.0
17,13/03/2012,16:00,368.917,40.3867,214.24,0.0
18,13/03/2012,16:15,320.448,39.9227,213.632,0.0
19,13/03/2012,16:30,271.723,39.6133,215.02900000000002,0.0
20,13/03/2012,16:45,222.44299999999998,39.084,217.067,0.0
21,13/03/2012,17:00,173.835,38.3013,216.66099999999997,0.0
22,13/03/2012,17:15,101.244,37.7867,216.672,0.0
23,13/03/2012,17:30,24.6653,37.711999999999996,216.299,0.0
24,13/03/2012,17:45,15.57,37.748000000000005,216.768,0.0
25,13/03/2012,18:00,5.00933,37.8373,217.088,0.0
26,13/03/2012,18:15,-2.93933,38.2173,215.61599999999999,0.0
27,13/03/2012,18:30,-3.904,39.356,216.107,0.0
28,13/03/2012,18:45,-3.708,40.1587,215.477,0.0
29,13/03/2012,19:00,-3.64267,40.751999999999995,214.987,0.0
30,13/03/2012,19:15,-3.708,41.2507,215.115,0.0
